#,prog_code,institution_name,programme_name,cutoff_2018,cutoff_2019,cutoff_2020,cutoff_2021,cutoff_2022,cutoff_2023,cutoff_2024,qualification_type,minimum_mean_grade,subject_requirements,cluster_or_points_info,course_description,career_paths,notes,source_reference
1,1105101,CHUKA UNIVERSITY,BACHELOR OF ARTS,25.798,26.729,28.419,25.974,28.566,23.714,24.851,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
2,1087101,KISII UNIVERSITY,BACHELOR OF ARTS,23.93,24.763,27.318,22.926,26.315,24.286,22.173,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
3,1073101,RONGO UNIVERSITY,BACHELOR OF ARTS,,,,,27.808,24.574,24.252,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
4,1057101,EGERTON UNIVERSITY,BACHELOR OF ARTS,24.851,26.54,28.227,22.926,26.783,24.188,21.799,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
5,1164101,MULTIMEDIA UNIVERSITY OF KENYA,"BACHELOR OF ARTS (PSYCHOLOGY, SOCIOLOGY & POLITICAL SCIENCE)",,,,24.456,26.207,22.449,22.851,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
6,5535101,KABARNET UNIVERSITY COLLEGE,BACHELOR OF ARTS,,,,,,,,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
7,3890101,KOITALEEL SAMOEI UNIVERSITY COLLEGE,BACHELOR OF ARTS,,,,,22.916,22.449,23.541,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
8,1700101,BOMET UNIVERSITY COLLEGE,BACHELOR OF ARTS,25.563,25.022,25.882,22.926,22.916,22.449,23.388,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
9,1685101,THARAKA UNIVERSITY,BACHELOR OF ARTS,24.562,24.746,25.095,22.926,22.916,22.449,23.322,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
10,1263101,UNIVERSITY OF NAIROBI,BACHELOR OF ARTS,23.795,24.075,27.036,24.382,26.506,23.248,23.031,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
11,1253101,MOI UNIVERSITY,BACHELOR OF ARTS,23.32,24.163,26.902,22.926,26.127,23.716,22.729,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
12,1170101,MACHAKOS UNIVERSITY,BACHELOR OF ARTS,24.307,24.642,26.36,22.926,25.34,24.666,23.405,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
13,1166101,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF ARTS,24.54,24.886,26.152,22.926,24.46,22.449,23.008,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
14,1117101,PWANI UNIVERSITY,BACHELOR OF ARTS,,,,,,,23.038,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
15,1111101,KENYATTA UNIVERSITY,BACHELOR OF ARTS,25.612,26.988,28.196,25.034,28.578,24.057,25.617,Degree,C,English/Kiswahili C+; any Humanities subject C,Cluster 1 (Arts/Humanities): relevant arts subjects weighted,"A multidisciplinary arts programme covering humanities, social sciences and languages.","Teacher, journalist, diplomat, public administrator, researcher, writer","Specialisations vary by institution (e.g., Economics, Sociology, Linguistics)",KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
16,1515101,TOM MBOYA UNIVERSITY,BACHELOR OF ARTS (WITH IT),23.407,25.498,25.033,22.926,22.916,23.729,24.247,Degree,C,English/Kiswahili C+; Mathematics C; any Humanities subject C,Cluster 1 with IT component; Mathematics weighted,An arts programme integrated with information technology modules.,"IT project manager, digital communicator, e-government officer, data analyst",IT component enhances employability in tech-facing sectors,KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
17,1229101,MASENO UNIVERSITY,BACHELOR OF ARTS (WITH IT),24.209,24.048,26.996,22.926,26.259,23.721,23.582,Degree,C,English/Kiswahili C+; Mathematics C; any Humanities subject C,Cluster 1 with IT component; Mathematics weighted,An arts programme integrated with information technology modules.,"IT project manager, digital communicator, e-government officer, data analyst",IT component enhances employability in tech-facing sectors,KUCCPS Programme Guidelines; kuccps.net; Kenya Higher Education Sector Knowledge Base
